"ID","order","code","comment","taxonID","notes"
17,"Accipitriformes","PHY, TAX","Raptor families Cathartidae, Accipitridae, Sagittariidae, and Pandionidae are in the Order ""Accipitriformes"" because falcons (Falconidae) are separated as the Order Falconiformes (Hackett et al. 2008)","https://www.inaturalist.org/taxa/71261",
6,"Anseriformes",,,"https://www.inaturalist.org/taxa/6888",
31,"Apodiformes",,,,"not in inaturalist"
5,"Apterygiformes",,,"https://www.inaturalist.org/taxa/367703",
36,"Bucerotiformes","PHY","Separation of the hoopoes and hornbills as the Order Bucerotiformes maintains monophyly of the Coraciiformes without submerging the Piciformes and Trogoniformes into the Coraciiformes (Hackett et al. 2008).","https://www.inaturalist.org/taxa/525653",
30,"Caprimulgiformes",,,"https://www.inaturalist.org/taxa/67573",
20,"Cariamiformes","PHY, TAX","Move  seriemas (Cariamidae)  from the Gruiformes to their own Order, the Cariamiformes (Hackett et al. 2008)","https://www.inaturalist.org/taxa/71262",
4,"Casuariiformes",,,"https://www.inaturalist.org/taxa/367702",
23,"Charadriiformes",,,"https://www.inaturalist.org/taxa/67561",
14,"Ciconiiformes","PHY","The Ciconiiformes includes only the storks (Ciconiidae); ibises and spoonbills (Threskiornithidae) and herons (Ardeidae) are members of the Pelecaniformes (Hackett et al 2008)","https://www.inaturalist.org/taxa/3726",
32,"Coliiformes",,,"https://www.inaturalist.org/taxa/3686",
25,"Columbiformes",,,"https://www.inaturalist.org/taxa/2708",
35,"Coraciiformes",,,"https://www.inaturalist.org/taxa/2114",
28,"Cuculiformes",,,"https://www.inaturalist.org/taxa/1623",
21,"Eurypygiformes","PHY, TAX","The Kagu (Rhynochetidae) and Sunbittern (Eurypygidae) are removed from the Gruiformes to a new Order, tentatively named the ""Eurypygiformes"" (Hackett et al. 2008).","https://www.inaturalist.org/taxa/71263",
38,"Falconiformes","PHY, SEQ","The Falconidae are not members of the Accipitriformes, but a separate lineage and Order more closely related to parrots and in turn the Passeriformes (Hackett et al. 2008). See Fuchs et al 2015 for phylogeny of falcons.","https://www.inaturalist.org/taxa/67570",
7,"Galliformes",,,"https://www.inaturalist.org/taxa/573",
8,"Gaviiformes",,,"https://www.inaturalist.org/taxa/67562",
22,"Gruiformes","PHY","Long recognized to be an artificial assemblage of taxa, the Gruiformes is now restricted to flufftails, finfoots, rails, trumpeters, cranes, and Limpkin (Hackett et al. 2008)","https://www.inaturalist.org/taxa/4",
34,"Leptosomiformes","PHY","The Cuckoo Roller is the only member of an ancient lineage (not Coraciiformes) with no known relatives among modern birds and thus put into a separate Order, Leptosomiformes (Hackett et al. 2008)","https://www.inaturalist.org/taxa/525652",
19,"Mesitornithiformes","PHY, TAX","Move  Mesites (Mesitornithidae) from the Gruiformes to their own Order, the Mesitornithiformes (Hackett et al. 2008, relationships uncertain)","https://www.inaturalist.org/taxa/71265",
27,"Musophagiformes",,,"https://www.inaturalist.org/taxa/793433",
26,"Opisthocomiformes",,,"https://www.inaturalist.org/taxa/508251",
18,"Otidiformes","PHY, TAX","Move  bustards (Otididae) from the Gruiformes to their own Order, the Otidiformes (Hackett et al. 2008)","https://www.inaturalist.org/taxa/71266",
40,"Passeriformes","PHY","The Passeriformes, or perching birds, include the majority of world bird species; parrots are the sister group of the perching birds (Hackett et al. 2008)","https://www.inaturalist.org/taxa/7251",
15,"Pelecaniformes",,,"https://www.inaturalist.org/taxa/67566",
13,"Phaethontiformes","PHY","Not Pelecaniformes, the tropicbirds (Phaethontidae) are  separated to the Order Phaethontiformes (Hackett et al. 2008, Christidis and Boles 2008)","https://www.inaturalist.org/taxa/67567",
12,"Phoenicopteriformes",,,"https://www.inaturalist.org/taxa/67569",
37,"Piciformes",,,"https://www.inaturalist.org/taxa/17550",
11,"Podicipediformes","PHY","Grebes and flamingos are sister taxa (Hackett et al 2008, Mayr 2008)","https://www.inaturalist.org/taxa/67563",
10,"Procellariiformes",,,"https://www.inaturalist.org/taxa/67565",
39,"Psittaciformes","PHY, SEQ","Parrots (Psittaciformes) are the sister group to the Passeriformes (Hackett et al. 2008)","https://www.inaturalist.org/taxa/18874",
24,"Pterocliformes","PHY,TAX","The sandgrouse are treated as a separate Order Pterocliformes because their relationships to other modern birds remain uncertain.","https://www.inaturalist.org/taxa/470156",
3,"Rheiformes",,,"https://www.inaturalist.org/taxa/367701",
9,"Sphenisciformes",,,"https://www.inaturalist.org/taxa/67564",
29,"Strigiformes",,,"https://www.inaturalist.org/taxa/19350",
2,"Struthioniformes",,,"https://www.inaturalist.org/taxa/20487",
16,"Suliformes",,,"https://www.inaturalist.org/taxa/71268",
1,"Tinamiformes","PHY","Tinamous (with moas) are the outgroup to the traditional ratites (Baker et al 2010, Haddrath and Baker 2012; cf Hackett et al. 2008)","https://www.inaturalist.org/taxa/20530",
33,"Trogoniformes",,,"https://www.inaturalist.org/taxa/20715",
