"ID","family_english","family_scientific","code","comment","order","order_id","taxonRank","taxonID","notes"
230,"Accentors","Prunellidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/71358",
109,"African & New World Parrots","Psittacidae",,,"Psittaciformes",39,"family","https://www.inaturalist.org/taxa/18875",
103,"African Barbets","Lybiidae","PHY","African barbets (Lybiidae) are sisters to the New World barbets and toucans (Moyle 2004)","Piciformes",37,"family","https://www.inaturalist.org/taxa/200961",
60,"Albatrosses","Diomedeidae","TAX","The species taxonomy of albatrosses is controversial with advocates for 12 to 24 species (BLI, Tennyson 2010, SACC 388, Penhallurick 2012)","Procellariiformes",10,"family","https://www.inaturalist.org/taxa/67526",
76,"Anhingas, Darters","Anhingidae",,,"Suliformes",16,"family","https://www.inaturalist.org/taxa/5059",
115,"Antbirds","Thamnophilidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/15726",
117,"Antpittas","Grallariidae","PHY","The antpittas (Grallariidae) are not closely related to the antthrushes (Formicariidae) and thus are treated as a separate family (Chesser 2004, Rice 2005, SACC)","Passeriformes",40,"family","https://www.inaturalist.org/taxa/200969",
116,"Antthrushes","Formicariidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/9011",
102,"Asian Barbets","Megalaimidae","PHY","Asian barbets (Megalaimidae) are the basal outgroup to the African barbets and in turn the New World barbets and toucans (Moyle 2004)","Piciformes",37,"family","https://www.inaturalist.org/taxa/200962",
27,"Auks","Alcidae",,,"Charadriiformes",23,"family","https://www.inaturalist.org/taxa/71295",
59,"Austral Storm Petrels","Oceanitidae","TAX, PHY","The Oceanitidae and  Hydrobatidae are not sister taxa (Nunn & Stanley 1998; Penhallurick & Wink 2004, Hackett et al. 2008). Resequence Oceanitidae to precede Diomedeidae (H&M4)","Procellariiformes",10,"family","https://www.inaturalist.org/taxa/793435",
134,"Australasian Babblers","Pomatostomidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/14488",
169,"Australasian Robins","Petroicidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/14149",
128,"Australasian Treecreepers","Climacteridae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/7787",
133,"Australasian Warblers","Acanthizidae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/71292",
129,"Australasian Wrens","Maluridae",,,"Passeriformes",40,"family","https://www.inaturalist.org/taxa/12061",
