"ID","genus","authority","code","comment","family","family_id","taxonID","notes"
737,"Abeillia","Bonaparte, 1850",,,"Trochilidae",42,"https://www.inaturalist.org/taxa/6027",
1705,"Abroscopus","Baker, ECS, 1930","PHY,SEQ","Move Abroscopus from ""Sylviidae"" to Cettiidae (Alstr÷m et al 2006, Johansson et al 2008)","Cettiidae",189,"https://www.inaturalist.org/taxa/71663",
78,"Aburria","Reichenbach, 1853",,,"Cracidae",53,"https://www.inaturalist.org/taxa/2101",
1390,"Acanthagenys","Gould, 1838",,,"Meliphagidae",130,"https://www.inaturalist.org/taxa/12676",
2226,"Acanthidops","Ridgway, 1882",,,"Thraupidae",239,"https://www.inaturalist.org/taxa/10582",
2074,"Acanthis","von Borkhausen, 1797","TAX, PHY","Previously in Carduelis, redpolls are returned to Acanthis (Arnaiz-Villena et al. 1999, Nguembock et al. 2009, Zuccon et al 2012, NACC)","Fringillidae",233,"https://www.inaturalist.org/taxa/144409",
1056,"Acanthisitta","Lafresnaye, 1842",,,"Acanthisittidae",111,"https://www.inaturalist.org/taxa/7253",
1422,"Acanthiza","Vigors & Horsfield, 1827",,,"Acanthizidae",133,"https://www.inaturalist.org/taxa/13463",
1364,"Acanthorhynchus","Gould, 1837",,,"Meliphagidae",130,"https://www.inaturalist.org/taxa/12236",
1414,"Acanthornis","Legge, 1887",,,"Acanthizidae",133,"https://www.inaturalist.org/taxa/13519",
298,"Accipiter","Brisson, 1760","PHY","The genus Accipiter needs a thorough revision","Accipitridae",80,"https://www.inaturalist.org/taxa/5085",
881,"Aceros","Hodgson, 1844",,,"Bucerotidae",96,"https://www.inaturalist.org/taxa/5519",
1701,"Achaetops","Roberts, 1922",,,"Macrosphenidae",188,"https://www.inaturalist.org/taxa/86208",
1855,"Acridotheres","Vieillot, 1816",,,"Sturnidae",217,"https://www.inaturalist.org/taxa/14868",
1668,"Acritillas","Oberholser, 1905",,,"Pycnonotidae",185,,"inaturalist >"
1080,"Acrobatornis","Pacheco, Whitney, BM & Pedreira Gonzaga, 1996",,,"Furnariidae",114,"https://www.inaturalist.org/taxa/11777",
1724,"Acrocephalus","Naumann, JA & Naumann, JF, 1811",,,"Acrocephalidae",195,"https://www.inaturalist.org/taxa/6701",
1175,"Acropternis","Cabanis & Heine, 1859",,,"Rhinocryptidae",119,"https://www.inaturalist.org/taxa/14794",
89,"Acryllium","Gray, GR, 1840",,,"Numididae",54,"https://www.inaturalist.org/taxa/1448",
837,"Actenoides","Bonaparte, 1850",,,"Alcedinidae",89,"https://www.inaturalist.org/taxa/2422",
1762,"Actinodura","Gould, 1836","TAX","Genus transferred from Timaliidae to new babbler family Leiothrichidae","Leiothrichidae",202,"https://www.inaturalist.org/taxa/15465",
500,"Actitis","Illiger, 1811",,,"Scolopacidae",23,"https://www.inaturalist.org/taxa/3977",
409,"Actophilornis","Oberholser, 1925",,,"Jacanidae",20,"https://www.inaturalist.org/taxa/4583",
766,"Adelomyia","Bonaparte, 1854",,,"Trochilidae",42,"https://www.inaturalist.org/taxa/6165",
