"ID","scientific_name","species_english","species","code","comment","status","genus","genus_id","notes","version_ioc","species_english_alt1","google_aiy","taxonID"
1970,"Abeillia abeillei","Emerald-chinned Hummingbird","abeillei",,,,"Abeillia",737,,,,,"https://www.inaturalist.org/taxa/6028"
7424,"Abroscopus albogularis","Rufous-faced Warbler","albogularis",,,,"Abroscopus",1705,,,,,"https://www.inaturalist.org/taxa/116786"
7425,"Abroscopus schisticeps","Black-faced Warbler","schisticeps",,,,"Abroscopus",1705,,,,,"https://www.inaturalist.org/taxa/116787"
7423,"Abroscopus superciliaris","Yellow-bellied Warbler","superciliaris",,,,"Abroscopus",1705,,,,,"https://www.inaturalist.org/taxa/116788"
299,"Aburria aburri","Wattled Guan","aburri",,,,"Aburria",78,,,,,"https://www.inaturalist.org/taxa/2103"
5956,"Acanthagenys rufogularis","Spiny-cheeked Honeyeater","rufogularis",,,,"Acanthagenys",1390,,,,,"https://www.inaturalist.org/taxa/12677"
10525,"Acanthidops bairdi","Peg-billed Finch","bairdi",,,,"Acanthidops",2226,,,,,
9820,"Acanthis flammea","Common Redpoll","flammea","TAX","Species taxonomy of redpolls is unsettled, including Lesser Redpoll Acanthis (flammea) cabaret recognized by BOU (Ottvall et al. 2002, Marthinsen et al 2008)",,"Acanthis",2074,,,,"gogle_aiy_birds_V1_labelmap","https://www.inaturalist.org/taxa/145300"
9821,"Acanthis hornemanni","Arctic Redpoll","hornemanni",,,,"Acanthis",2074,,,,,"https://www.inaturalist.org/taxa/145302"
4366,"Acanthisitta chloris","Rifleman","chloris",,,,"Acanthisitta",1056,,,,,"https://www.inaturalist.org/taxa/7254"
6007,"Acanthiza apicalis","Inland Thornbill","apicalis",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/72439"
6014,"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","chrysorrhoa",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13469"
6016,"Acanthiza cinerea","Grey Thornbill","cinerea","PHY, TAX, ENG","Ashy Gerygone is a member of the genus Acanthiza and sister to Yellow Thornbill A nana (Nyßri & Joseph 2012). Change English name to Grey Thornbill (Pratt & Wheeler 2015).",,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/544593"
6008,"Acanthiza ewingii","Tasmanian Thornbill","ewingii",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13465"
6012,"Acanthiza inornata","Western Thornbill","inornata",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13466"
6013,"Acanthiza iredalei","Slender-billed Thornbill","iredalei",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13472"
6005,"Acanthiza katherina","Mountain Thornbill","katherina",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13474"
6017,"Acanthiza lineata","Striated Thornbill","lineata",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13467"
6009,"Acanthiza murina","New Guinea Thornbill","murina","ENG","Change English name of Acanthiza murina to New Guinea Thornbill (Gregory 2009)",,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13473"
6015,"Acanthiza nana","Yellow Thornbill","nana",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13470"
6006,"Acanthiza pusilla","Brown Thornbill","pusilla",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13468"
6011,"Acanthiza reguloides","Buff-rumped Thornbill","reguloides",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13471"
6018,"Acanthiza robustirostris","Slaty-backed Thornbill","robustirostris",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13475"
6010,"Acanthiza uropygialis","Chestnut-rumped Thornbill","uropygialis",,,,"Acanthiza",1422,,,,,"https://www.inaturalist.org/taxa/13464"
5876,"Acanthorhynchus superciliosus","Western Spinebill","superciliosus",,,,"Acanthorhynchus",1364,,,,,"https://www.inaturalist.org/taxa/12237"
5875,"Acanthorhynchus tenuirostris","Eastern Spinebill","tenuirostris",,,,"Acanthorhynchus",1364,,,,,"https://www.inaturalist.org/taxa/12238"
5076,"Acanthornis magna","Scrubtit","magna",,,,"Acanthornis",1414,,,,,"https://www.inaturalist.org/taxa/72440"
1133,"Accipiter albogularis","Pied Goshawk","albogularis",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5087"
1123,"Accipiter badius","Shikra","badius",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5143"
1160,"Accipiter bicolor","Bicolored Hawk","bicolor",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5137"
1148,"Accipiter brachyurus","New Britain Sparrowhawk","brachyurus","ENG","Changeá English name of Accipiter brachyurus to Bismarck Sparrowhawk (Beehler 2014)",,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5094"
1125,"Accipiter brevipes","Levant Sparrowhawk","brevipes",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5126"
1124,"Accipiter butleri","Nicobar Sparrowhawk","butleri",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5122"
1122,"Accipiter castanilius","Chestnut-flanked Sparrowhawk","castanilius",,,,"Accipiter",298,"Chestnut-flanked goshawk",,,,"https://www.inaturalist.org/taxa/5128"
1161,"Accipiter chilensis","Chilean Hawk","chilensis","AS","Accipiter chilensis is split from A. bicolor (Jaramillo 2003); SACC needs proposal",,"Accipiter",298,,,,,
1155,"Accipiter chionogaster","White-breasted Hawk","chionogaster","AS, PL","We follow  Ferguson-Lees and Christie (2005) in splitting Accipiter chionogaster from A.striatus, but species status debated, including Plain-breasted Hawk and Rufous-thighed Hawk.",,"Accipiter",298,,,,,
1147,"Accipiter cirrocephalus","Collared Sparrowhawk","cirrocephalus",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5138"
1116,"Accipiter collaris","Semicollared Hawk","collaris",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5117"
1158,"Accipiter cooperii","Cooper's Hawk","cooperii",,,,"Accipiter",298,,,,"gogle_aiy_birds_V1_labelmap","https://www.inaturalist.org/taxa/5112"
1146,"Accipiter erythrauchen","Rufous-necked Sparrowhawk","erythrauchen",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5134"
1157,"Accipiter erythronemius","Rufous-thighed Hawk","erythronemius",,,,"Accipiter",298,,,,,
1141,"Accipiter erythropus","Red-thighed Sparrowhawk","erythropus",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5095"
1131,"Accipiter fasciatus","Brown Goshawk","fasciatus",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5114"
1127,"Accipiter francesiae","Frances's Sparrowhawk","francesiae",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5102"
1164,"Accipiter gentilis","Northern Goshawk","gentilis",,,,"Accipiter",298,,,,"gogle_aiy_birds_V1_labelmap","https://www.inaturalist.org/taxa/5108"
1118,"Accipiter griseiceps","Sulawesi Goshawk","griseiceps",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5130"
1143,"Accipiter gularis","Japanese Sparrowhawk","gularis",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5127"
1159,"Accipiter gundlachi","Gundlach's Hawk","gundlachi",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5125"
1134,"Accipiter haplochrous","White-bellied Goshawk","haplochrous",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5090"
1136,"Accipiter henicogrammus","Moluccan Goshawk","henicogrammus",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5092"
1163,"Accipiter henstii","Henst's Goshawk","henstii",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5132"
1130,"Accipiter hiogaster","Variable Goshawk","hiogaster","AS","Accipiter hiogaster is split from A. novaehollandiae (Ferguson-Lees & Christie 2001, Christidis & Boles 2008)",,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/144463"
1138,"Accipiter imitator","Imitator Goshawk","imitator",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5135"
1137,"Accipiter luteoschistaceus","Slaty-mantled Goshawk","luteoschistaceus",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5142"
1150,"Accipiter madagascariensis","Madagascan Sparrowhawk","madagascariensis",,,,"Accipiter",298,,,,,"https://www.inaturalist.org/taxa/5119"
