"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
4255,"Abeillia abeillei abeillei","(Lesson, R & Delattre, 1839)",,,,"Abeillia abeillei",1970,16603,"https://www.inaturalist.org/taxa/629178",
4256,"Abeillia abeillei aurea","Miller, W & Griscom, 1925",,,,"Abeillia abeillei",1970,16604,"https://www.inaturalist.org/taxa/629179",
12980,"Abroscopus albogularis albogularis","(Moore, F, 1854)",,,,"Abroscopus albogularis",7424,16605,"https://www.inaturalist.org/taxa/629181",
12982,"Abroscopus albogularis fulvifacies","(Swinhoe, 1870)",,,,"Abroscopus albogularis",7424,16606,"https://www.inaturalist.org/taxa/629182",
12981,"Abroscopus albogularis hugonis","Deignan, 1938",,,,"Abroscopus albogularis",7424,16607,"https://www.inaturalist.org/taxa/629183",
12984,"Abroscopus schisticeps flavimentalis","(Baker, ECS, 1924)",,,,"Abroscopus schisticeps",7425,16608,"https://www.inaturalist.org/taxa/629185",
12985,"Abroscopus schisticeps ripponi","(Sharpe, 1902)",,,,"Abroscopus schisticeps",7425,16609,"https://www.inaturalist.org/taxa/629186",
12983,"Abroscopus schisticeps schisticeps","(Gray, JE & Gray, GR, 1847)",,,,"Abroscopus schisticeps",7425,16610,"https://www.inaturalist.org/taxa/629187",
12975,"Abroscopus superciliaris bambusarum","Deignan, 1947",,,,"Abroscopus superciliaris",7423,16611,"https://www.inaturalist.org/taxa/629188",
12971,"Abroscopus superciliaris drasticus","Deignan, 1947",,,,"Abroscopus superciliaris",7423,16612,"https://www.inaturalist.org/taxa/629189",
12974,"Abroscopus superciliaris euthymus","Deignan, 1947",,,,"Abroscopus superciliaris",7423,16613,"https://www.inaturalist.org/taxa/629190",
12970,"Abroscopus superciliaris flaviventris","(Jerdon, 1863)",,,,"Abroscopus superciliaris",7423,16614,"https://www.inaturalist.org/taxa/629191",
12977,"Abroscopus superciliaris papilio","Deignan, 1947",,,,"Abroscopus superciliaris",7423,16615,"https://www.inaturalist.org/taxa/629192",
12976,"Abroscopus superciliaris sakaiorum","(Stresemann, 1912)",,,,"Abroscopus superciliaris",7423,16616,"https://www.inaturalist.org/taxa/629193",
12978,"Abroscopus superciliaris schwaneri","(Blyth, 1870)",,,,"Abroscopus superciliaris",7423,16617,"https://www.inaturalist.org/taxa/629194",
12972,"Abroscopus superciliaris smythiesi","Deignan, 1947",,,,"Abroscopus superciliaris",7423,16618,"https://www.inaturalist.org/taxa/629195",
12973,"Abroscopus superciliaris superciliaris","(Blyth, 1859)",,,,"Abroscopus superciliaris",7423,16619,"https://www.inaturalist.org/taxa/629196",
12979,"Abroscopus superciliaris vordermani","(Büttikofer, 1893)",,,,"Abroscopus superciliaris",7423,16620,"https://www.inaturalist.org/taxa/629197",
